transaction_id,date,time,merchant,memo,amount,category,is_wants,is_impulse,sub_type,is_unseen_merchant,processed_text
77841740-b2c6-4a92-83e1-46f3807f77df,2025-06-05,09:48,โจ๊กสามย่าน สาขา 2,เส้นเล็กน้ำตกหมูพิเศษ,76.91,food,False,False,routine,False,โจ๊ก สามย่าน สาขา 2 เส้น เล็ก น้ำตก หมู พิเศษ
9a016716-49ef-47f3-9c89-885ef6f47e03,2025-06-23,13:19,บัตรเครดิต SCB CardX,โอนค่าเช่าคอนโดประจำเดือน,2317.97,bills,False,False,routine,False,บัตรเครดิต scb cardx โอน ค่าเช่า คอนโด ประจำเดือน
d5821c27-d54c-4403-b191-8f2532136657,2025-03-09,19:48,ร้านข้าวราดแกงเมืองตรัง,ไม่ระบุ,244.86,food,False,False,routine,False,ร้าน ข้าวราดแกง เมือง ตรัง ไม่ ระบุ
7f485b8b-5cf0-4f30-84bc-cf4518a46435,2025-06-16,12:29,SF Cinema World CentralWorld,ร้องคาราโอเกะปาร์ตี้วันหยุด,736.26,entertainment,True,False,wants,False,sf cinema world centralworld ร้อง คาราโอเกะ ปาร์ตี้ วันหยุด
38c50504-25dc-4f27-9ffd-64b8d8efd276,2025-07-10,18:22,McDonald's EmQuartier,ดินเนอร์ร้านอาหารอิตาเลียน,791.72,food,True,False,wants,False,mcdonald s emquartier ดินเนอร์ ร้านอาหาร อิตาเลียน
e210b1cf-a1eb-4fa6-af57-9f6fbd8fafa4,2025-11-07,14:06,ปตท. PTT Station สาขา 1,ค่ารถตู้ไปทำงานอนุสาวรีย์,96.8,transport,False,False,routine,False,ปตท ptt station สาขา 1 ค่า รถตู้ ไป ทำงาน อนุสาวรีย์
ea5faa8e-e4e2-46ef-8da4-6341b69faf2e,2025-11-16,01:16,H&M EmQuartier,เสื้อผ้าแฟชั่นเกาหลีแมตช์ชุด,2105.54,shopping,True,False,wants,False,h m emquartier เสื้อผ้า แฟชั่น เกาหลี แมตช์ ชุด
4a8b328a-0f91-4d98-85d8-a496012afbb4,2025-07-27,01:05,AirAsia Flight Booking,นั่ง Taxi Express ช่วงฝนตก,1924.85,transport,True,True,wants,False,airasia flight booking นั่ง taxi express ช่วง ฝนตก
4f1ed7fc-6665-40f5-9429-4caeb1402442,2025-11-04,10:30,Gentlewoman Store,หนังสือแปลและนวนิยายขายดี,2807.72,shopping,True,False,wants,False,gentlewoman store หนังสือ แปล และ นวนิยาย ขายดี
71c18684-a2d6-4c97-8904-054950ee8451,2025-12-09,14:09,Amazon Cafe PTT,ข้าวราดแกง 2 อย่างไข่ต้ม,118.94,food,False,False,routine,False,amazon cafe ptt ข้าวราดแกง 2 อย่าง ไข่ต้ม
e91baf38-f609-4355-a89b-1e3812928c47,2025-01-08,15:13,Big C Supercenter รัชดา,ซื้อยาแก้แพ้และวิตามินซีรวม,152.35,shopping,False,False,routine,False,big c supercenter รัชดา ซื้อ ยา แก้ แพ้ และ วิตามิน ซี รวม
eaa85686-79cf-41e0-bfde-4da51502e811,2025-11-20,09:47,NT Broadband Thailand,ชำระค่าส่วนกลางคอนโดมิเนียม,2318.66,bills,False,False,routine,False,nt broadband thailand ชำระ ค่า ส่วนกลาง คอนโดมิเนียม
5697e4a4-a593-46b6-8519-881ac5eb725e,2025-09-28,21:32,โจ๊กสามย่าน สาขา 2,กะเพราหมูกรอบไข่ดาวไม่สุก,94.07,food,False,False,routine,False,โจ๊ก สามย่าน สาขา 2 กะเพรา หมูกรอบ ไข่ดาว ไม่ สุก
dc10f387-f08b-4e77-86f3-3e74db438015,2025-09-06,19:37,Nintendo eShop,เล่นบอร์ดเกมกับกลุ่มเพื่อน,1350.63,entertainment,True,False,wants,False,nintendo eshop เล่น บอร์ด เกม กับ กลุ่ม เพื่อน
43bc0352-7b66-48cb-97d8-d7449ed86f25,2025-09-07,00:11,Foodpanda - Pizza Hut Delivery,ยำแซลมอนกุ้งสด สั่งตอนหิวรอบดึก,432.29,food,True,True,impulse_delivery,False,foodpanda pizza hut delivery ยำ แซลมอน กุ้ง สด สั่ง ตอน หิว รอบ ดึก
874c7440-1b96-47ed-921a-36ab95fe0b19,2025-11-25,18:44,H&M EmQuartier,หนังสือแปลและนวนิยายขายดี,2646.42,shopping,True,True,wants,False,h m emquartier หนังสือ แปล และ นวนิยาย ขายดี
83b815cd-4af9-4c1a-8952-67cd9799d728,2025-04-25,17:03,ค่าเช่าคอนโด ลุมพินีทาวเวอร์,ต่อประกันภัยรถยนต์ชั้น 1,1647.51,bills,False,False,routine,False,ค่าเช่า คอนโด ลุมพินี ทาวเวอร์ ต่อ ประกันภัย รถยนต์ ชั้น 1
826a7f61-937f-4025-b8bd-3f9fd5a624bb,2025-06-14,07:48,MK Restaurants,ไก่ทอด KFC บักเก็ตพิเศษ,620.48,food,True,False,wants,False,mk restaurants ไก่ทอด kfc บัก เก็ต พิเศษ
226193b1-1dec-4d34-aaac-bc7cba7f5076,2025-04-05,10:19,วินมอเตอร์ไซค์ ซอยสุขุมวิท 21,ค่าวินมอไซค์ไปต่อรถไฟฟ้า,50.18,transport,False,False,routine,False,วิน มอเตอร์ไซค์ ซอย สุขุมวิท 21 ค่า วิน มอไซค์ ไป ต่อ รถไฟฟ้า
6a969935-9ffa-4720-925c-726b230780df,2025-09-26,01:47,ร้านข้าวต้มรอบดึก กวงเฮง,Iced Black คอฟฟี่ หวานน้อย,166.87,food,False,False,routine,False,ร้าน ข้าวต้ม รอบ ดึก กวง เฮง iced black คอ ฟ ฟี่ หวาน น้อย
8a31f25e-a72b-4241-ae02-be162ce6eee7,2025-05-24,01:05,Lineman - ยำกุ้งสดแซ่บลืมผัว,ยำแซลมอนกุ้งสด สั่งตอนหิวรอบดึก,937.4,food,True,True,impulse_delivery,False,lineman ยำ กุ้ง สด แซ่บ ลืม ผัว ยำ แซลมอน กุ้ง สด สั่ง ตอน หิว รอบ ดึก
185c94e8-40f2-490c-9a68-e341e3b8b55b,2025-02-09,08:28,PromptPay โอนเงินส่วนตัว,ร่วมบริจาคอาหารสุนัขแมวจรจัด,119.38,other,True,False,wants,False,promptpay โอน เงิน ส่วนตัว ร่วม บริจาค อาหาร สุนัข แมว จรจัด
be99efe1-fdd7-40ca-a04d-f6acee8fc07c,2025-05-06,13:44,Lotus's สุขุมวิท 50,ยอดตัดบัญชี,360.63,shopping,False,False,routine,False,lotus s สุขุมวิท 50 ยอด ตัด บัญชี
8f48576c-103b-4c7e-925e-b49e5dbdf05f,2025-02-28,18:26,วินมอเตอร์ไซค์ ซอยสุขุมวิท 21,Easy Pass เติมเงินทางด่วน,103.43,transport,False,False,routine,False,วิน มอเตอร์ไซค์ ซอย สุขุมวิท 21 easy pass เติม เงิน ทางด่วน
